iter	RMSE
0	205796320.7
1	202633834.3
2	199783925.6
3	197202889.7
4	194645929.2
5	192811512.6
6	190587690.7
7	188137522.8
8	185829464.1
9	183602905
10	181308420.3
11	179493892.1
12	177463166.5
13	175582811.1
14	173461642.1
15	171840354.1
16	170059286
17	168446009.9
18	166860164
19	165241154.5
20	163793937.9
21	162092367.5
22	160717213
23	159346916.3
24	158193330.6
25	156766655.2
26	155475813.7
27	154170950.8
28	152874984.7
29	151463579.2
30	150161096.4
31	149065540.3
32	148025278.8
33	147129906
34	146111931.7
35	145065297.7
36	144167259.7
37	143136047.5
38	142323646.8
39	141380027
40	140539722.5
41	139857828.9
42	139076389.8
43	138494432.7
44	137733808.1
45	136948633.5
46	136124881.7
47	135448108.6
48	134646423.9
49	133858731.1
50	133187316.6
51	132625696.9
52	131965585.1
53	131282751.5
54	130769047
55	130279272.7
56	129821047.5
57	129342097.5
58	128921863.5
59	128479396.6
60	128032213.8
61	127574098.1
62	127079789.5
63	126747831.6
64	126275148
65	125931155.7
66	125623512.7
67	125084206.8
68	124552763.3
69	124205871.5
70	123851054
71	123433738.2
72	123137690.8
73	122781991.3
74	122404522.2
75	122016528.1
76	121635612.7
77	121181799
78	120934583.3
79	120508961.9
80	120173387.7
81	119716502.8
82	119409291.9
83	119071281.5
84	118709060.7
85	118409465.5
86	118113786.4
87	117780975.4
88	117544807.4
89	117195915.1
90	116925416.1
91	116624361.5
92	116432181
93	116102418.5
94	115922092.1
95	115765659.3
96	115570789
97	115453713.2
98	115216143
99	114951841.5
100	114848962.9
101	114590864.1
102	114249724.6
103	114008993.9
104	113918259.3
105	113843108.6
106	113740387.9
107	113674870.9
108	113499251.1
109	113295614
110	113096969.8
111	112880581.8
112	112813016.3
113	112759879.2
114	112566285.4
115	112390585.5
116	112174128.7
117	112027607.8
118	111976652.9
119	111796824.1
120	111728093.1
121	111600870.6
122	111443870.6
123	111182492.1
124	111104399.9
125	110927230.8
126	110807959.3
127	110609780.4
128	110498050.9
129	110374349.6
130	110148210.2
131	110102255.2
132	110041464.2
133	109925997.8
134	109681617.9
135	109535145.3
136	109439363.5
137	109281168.9
138	109255374.5
139	109140670.2
140	108988447.9
141	108832480.9
142	108650437.2
143	108510088
144	108353881.1
145	108267539.6
146	108111646.7
147	108032119.1
148	107888936.9
149	107789024
150	107613131.3
151	107525645.6
152	107446565
153	107408069.1
154	107275642.8
155	107069616.2
156	106979522.1
157	106843253.4
158	106726843.1
159	106635712.5
160	106465767.2
161	106339028.4
162	106284594.8
163	106249434.3
164	106217176.3
165	106089745.1
166	106051620.5
167	105895394
168	105835227.6
169	105686339.8
170	105636004.7
171	105519642.1
172	105382688.3
173	105342788.7
174	105267931.3
175	105123495.7
176	105071554
177	105035766.3
178	104902487
179	104863911.4
180	104757107.6
181	104689012.2
182	104624019.9
183	104560078
184	104430279.6
185	104392164.8
186	104335205.7
187	104223522.6
188	104176411.9
189	104083382.7
190	103957413.4
191	103875133.8
192	103808797
193	103725225.5
194	103688613.1
195	103569205.4
196	103495818.2
197	103436421.1
198	103309714.6
199	103210528.8
200	103153635.2
201	103106942.1
202	103005939.3
203	102945181.5
204	102861261
205	102680188.1
206	102629009.9
207	102519075.4
208	102467904.2
209	102422134.7
210	102334098.9
211	102303761.1
212	102190342.2
213	102135774.3
214	102064168.4
215	101935531.3
216	101902756.1
217	101812840.4
218	101756772.6
219	101644731.9
220	101621233.6
221	101526749.8
222	101456100.1
223	101438098.5
224	101388452.3
225	101269493.8
226	101184981.6
227	101141520.6
228	101033969
229	100910810.8
230	100894167.7
231	100867636.7
232	100783167.1
233	100761542
234	100739276.9
235	100676682.3
236	100614194.6
237	100598214.8
238	100530645.8
239	100463802.9
240	100428432.9
241	100332137.4
242	100305585.5
243	100254537.8
244	100157607.4
245	100060275.1
246	100002180.5
247	99915564.5
248	99806319.02
