movie_title,production_date,genres,runtime_minutes,director_name,director_professions,director_birthYear,director_deathYear,movie_averageRating,movie_numerOfVotes,approval_Index,Production budget $,Domestic gross $,Worldwide gross $
Avatar: The Way of Water,9/12/22,"Action,Adventure,Fantasy",192,James Cameron,"writer,producer,director",1954,alive,7.8,277543,7.061100943995044,460000000,667830256,2265935552
Avengers: Endgame,23/4/19,"Action,Adventure,Drama",181,-,-,-,-,8.4,1143642,8.489533213240412,400000000,858373000,2794731755
Pirates of the Caribbean: On Stranger Tides,20/5/11,"Action,Adventure,Fantasy",137,Rob Marshall,"director,miscellaneous,producer",1960,alive,6.6,533763,6.272064273410888,379000000,241071802,1045713802
Avengers: Age of Ultron,22/4/15,"Action,Adventure,Sci-Fi",141,Joss Whedon,"writer,producer,director",1964,alive,7.3,870573,7.214013343,365000000,459005868,1395316979
Avengers: Infinity War,25/4/18,"Action,Adventure,Sci-Fi",149,-,-,-,-,8.4,1091968,8.460957733894004,300000000,678815482,2048359754
Justice League,13/11/17,"Action,Adventure,Fantasy",120,Zack Snyder,"director,producer,writer",1966,alive,6.1,456977,5.7172124919319725,300000000,229024295,655945209
Spectre,6/10/15,"Action,Adventure,Thriller",148,Sam Mendes,"producer,director,miscellaneous",1965,alive,6.8,445461,6.375644351199071,300000000,200074175,879077344
Solo: A Star Wars Story,23/5/18,"Action,Adventure,Sci-Fi",135,Ron Howard,"producer,actor,writer",1954,alive,6.9,352604,6.352667900355968,275000000,213767512,393151347
John Carter,7/3/12,"Action,Adventure,Sci-Fi",132,Andrew Stanton,"writer,actor,producer",1965,alive,6.6,275965,5.951727572261911,263700000,73058679,282778100
Batman v Superman: Dawn of Justice,23/3/16,"Action,Adventure,Sci-Fi",151,Zack Snyder,"director,producer,writer",1966,alive,6.4,704314,6.208569086473743,263000000,330360194,872395091
The Lion King,11/7/19,"Adventure,Animation,Drama",118,Jon Favreau,"producer,actor,director",1966,alive,6.8,248695,6.0840220443103545,260000000,543638043,1647733638
Tangled,24/11/10,"Adventure,Animation,Comedy",100,-,-,-,-,7.7,459912,7.255014250910598,260000000,200821936,583777242
Spider-Man 3,4/5/07,"Action,Adventure,Sci-Fi",139,Sam Raimi,"producer,writer,director",1959,alive,6.3,597302,6.033111095767313,258000000,336530303,894860230
Captain America: Civil War,22/4/16,"Action,Sci-Fi",147,-,-,-,-,7.8,795308,7.665261234452187,250000000,408084349,1151899586
Thor: Love and Thunder,1/7/22,"Action,Adventure,Comedy",118,Taika Waititi,"producer,writer,actor",1975,alive,6.3,340924,5.773184359213031,250000000,343256830,760928081
Harry Potter and the Half-Blood Prince,15/7/09,"Action,Adventure,Family",153,David Yates,"director,producer,writer",1963,alive,7.6,552559,7.261703060250369,250000000,302089278,929411069
The Hobbit: The Desolation of Smaug,12/12/13,Fantasy,161,Peter Jackson,"producer,director,writer",1961,alive,7.8,670151,7.566996841361596,250000000,258241522,959358436
